feature,h_statistic,p_value,significant
glrlm_RunEntropy,25.80645161290323,2.49000508218493e-06,True
glszm_GrayLevelNonUniformity,24.815483870967753,4.086825970655473e-06,True
glszm_ZoneEntropy,24.815483870967753,4.086825970655473e-06,True
firstorder_Entropy,23.69290322580646,7.163931661945458e-06,True
firstorder_StandardDeviation,23.483870967741936,7.953205652273775e-06,True
glszm_ZonePercentage,22.40774193548387,1.3621366011500424e-05,True
firstorder_Skewness,21.677419354838705,1.9624933606312654e-05,True
custom_mean_calcium_hu,20.449032258064506,3.6270126061580686e-05,True
firstorder_Mean,20.449032258064506,3.6270126061580686e-05,True
firstorder_Maximum,20.015483870967756,4.5049803511521976e-05,True
custom_max_calcium_hu,20.015483870967756,4.5049803511521976e-05,True
glszm_LargeAreaEmphasis,19.140645161290323,6.976887387719126e-05,True
glrlm_LongRunEmphasis,19.117419354838717,7.058381582012326e-05,True
custom_lesion_count,19.110993466997073,7.081096237123326e-05,True
shape_Elongation,18.691612903225817,8.733087853773252e-05,True
custom_max_inter_lesion_distance_mm,16.028387096774196,0.00033073485417382554,True
custom_mean_lesion_volume_mm3,15.70064516129031,0.00038962626208766284,True
glcm_ClusterShade,15.680000000000007,0.00039366904065507677,True
custom_total_calcium_volume_mm3,10.098064516129043,0.00641553902922792,True
shape_MeshVolume,10.098064516129043,0.00641553902922792,True
shape_SurfaceVolumeRatio,10.043870967741924,0.006591756117017955,True
glcm_Correlation,9.989677419354848,0.006772813400134804,True
custom_mean_inter_lesion_distance_mm,5.468387096774194,0.06494636208860938,False
shape_Maximum3DDiameter,2.1194790739091642,0.346546061018493,False
glszm_SmallAreaEmphasis,2.1083870967741944,0.3484733409071878,False
shape_Sphericity,1.0761290322580663,0.5838772444378157,False
glcm_Contrast,0.8851612903225856,0.6423765343199485,False
glcm_Idm,0.8438709677419354,0.6557763461800585,False
glrlm_RunPercentage,0.8077419354838753,0.6677302744556288,False
glrlm_ShortRunEmphasis,0.7767741935483912,0.6781497828558741,False
glcm_JointEntropy,0.7767741935483912,0.6781497828558741,False
glrlm_GrayLevelNonUniformity,0.40516129032258164,0.8166206234406447,False
